sample, c__Gammaproteobacteria, p__Chloroflexi_unassigned, c__MBNT15, c__Deep_Sea_Euryarchaeotic_Group(DSEG), c__TK10, c__Gracilibacteria, c__Synergistia, c__Methylomirabilia, c__Entotheonellia, c__NB1-j, c__Vicinamibacteria, c__Saccharimonadia, c__MB-A2-108, c__Cyanobacteriia,d__Bacteria_unassigned, p__Firmicutes_unassigned, c__Polyangia, c__Holophagae, c__Vampirivibrionia, c__Chloroflexia, c__Verrucomicrobiae, c__Thermoplasmata, c__Alphaproteobacteria, c__Parcubacteria, c__Oligoflexia, c__Desulfuromonadia, c__Ktedonobacteria, c__Spirochaetia, c__Rubrobacteria, c__Planctomycetes, c__Bacteroidia, c__Longimicrobia, c__Bdellovibrionia, c__Thermococci, c__Negativicutes, c__Anaerolineae, c__Babeliae, c__Fusobacteriia, c__Armatimonadia, c__Bacilli, p__Actinobacteriota_unassigned, c__Coriobacteriia, p__Armatimonadota_unassigned, c__Rhodothermia, c__Omnitrophia, c__Thermoleophilia, c__Abditibacteria, c__Acidobacteriae, c__Asgardarchaeota, c__Halobacteria, c__Acidimicrobiia, c__Thermaerobacteria, c__Desulfobulbia, c__Myxococcia, c__Aenigmarchaeia, c__Phycisphaerae, c__Deinococci, p__Proteobacteria_unassigned, c__Campylobacteria, c__Clostridia, c__Gemmatimonadetes, c__Actinobacteria, c__Blastocatellia
MASK004.v1.throat,16806,0,0,0,0,0,0,0,0,0,0,12,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7348,0,0,0,4219,0,0,2630,0,32880,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,43,379,0,3033,0
MASK004.V2.SKIN,29,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,11,0,6383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,956,0,23160,0
MASK004.V2.SKIN.B,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,178,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,9,0,0,0,0,0,417,0
MASK004.v2.throat,11277,0,0,0,0,8,0,0,0,0,0,27,0,4,5,3,0,0,0,0,0,0,0,0,0,0,0,22,0,0,8383,0,0,0,1931,0,0,2491,0,22306,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,585,0,3288,0
MASK004.v2.throat.B,2814,0,0,0,0,32,0,0,0,0,0,8,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5162,0,0,0,1324,0,0,1800,0,6982,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,589,0,952,0
MASK004.V3.MASK,722,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,2,0,0,23,0,0,0,0,0,0,0,178,0,0,0,62,0,0,70,0,5899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,122,0,17069,0
MASK004.V3.SKIN,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,7679,0
MASK004.v3.throat,8673,0,0,0,0,2,0,0,0,0,0,15,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6943,0,0,0,2871,0,0,861,0,24167,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,0,4014,0
MASK005.V1.MASK,444,0,0,0,0,0,0,0,0,0,0,10,0,63,0,0,0,0,19,0,0,0,87,0,0,0,0,0,63,0,164,0,0,0,152,23,0,158,0,3899,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,4,221,0,3380,0
MASK005.V1.SKIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1724,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11,0,28756,0
MASK005.v1.throat,788,0,0,0,0,0,4,0,0,0,0,3,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1291,0,0,0,2967,0,0,296,0,12247,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,86,0,2114,0
MASK005.V2.MASK,203,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,33,0,17,0,0,0,89,0,200,0,0,0,101,0,0,50,0,3769,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,266,0,19808,0
MASK005.V2.SKIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,26732,0
MASK005.V2.SKIN.B,31,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,36357,0
MASK005.v2.throat,130,0,0,0,0,0,31,0,0,0,0,14,0,0,2,8,0,0,0,0,0,0,13,0,0,0,0,42,0,0,2542,0,0,0,3625,0,0,413,0,12377,0,368,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,71,352,0,1981,0
MASK005.V3.MASK,686,0,0,0,0,0,0,0,0,0,0,2,0,27,0,0,0,0,0,0,0,0,30,0,0,0,0,3,0,0,334,0,0,0,223,0,0,66,0,5749,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,327,0,15997,0
MASK005.v3.throat,1299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,12,0,0,679,0,0,0,1561,0,0,371,0,16949,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,50,0,1841,0
MASK006.V1.MASK,774,0,0,0,0,18,0,0,0,0,5,37,0,1597,7,0,8,0,0,18,3,0,237,0,0,0,4,0,27,7,493,0,0,0,89,14,0,142,0,14158,0,0,0,0,0,137,0,35,0,5,35,0,0,0,5,0,6,0,8,131,0,5573,3
